group_id,pair_file,point_idx,ir_x,ir_y,rgb_x,rgb_y,proj_x,proj_y,err_px,class
0,pair_00,0,86.661,38.114,213.108,81.227,212.322,80.493,1.0759,inlier
0,pair_00,1,138.662,39.115,372.108,83.227,375.203,84.376,3.3011,outlier
0,pair_00,2,193.663,38.114,554.108,82.227,548.444,82.019,5.6682,outlier
0,pair_00,3,88.661,70.615,217.108,183.227,215.904,183.196,1.204,inlier
0,pair_00,4,139.162,69.615,374.108,180.227,375.398,180.976,1.4919,inlier
0,pair_00,5,194.663,69.115,552.108,181.227,551.478,180.44,1.0081,inlier
0,pair_00,6,87.661,106.616,212.108,294.227,209.723,298.749,5.1117,outlier
0,pair_00,7,139.162,104.116,376.108,286.227,373.819,291.921,6.1368,outlier
0,pair_00,8,196.163,105.116,555.108,292.227,556.145,296.577,4.4721,outlier
1,pair_01,0,100.161,90.616,253.108,254.227,250.655,247.42,7.2358,outlier
1,pair_01,1,140.662,91.116,378.108,257.227,379.188,249.937,7.3698,outlier
1,pair_01,2,187.663,89.116,528.108,253.227,529.036,244.54,8.7372,outlier
1,pair_01,3,100.661,117.025,253.108,334.045,250.256,332.878,3.0818,outlier
1,pair_01,4,141.162,115.525,379.108,331.045,379.689,329.064,2.0648,inlier
1,pair_01,5,187.663,114.525,527.108,332.045,528.798,327.028,5.2941,outlier
1,pair_01,6,99.161,145.526,244.108,423.045,243.273,426.254,3.3157,outlier
1,pair_01,7,141.162,143.026,378.108,419.045,378.446,419.306,0.4272,inlier
1,pair_01,8,188.163,144.526,531.108,426.045,530.131,425.732,1.0264,inlier
2,pair_02,0,104.161,27.614,269.108,47.227,267.8,47.876,1.4604,inlier
2,pair_02,1,152.663,34.114,418.108,68.227,419.388,68.864,1.4299,inlier
2,pair_02,2,209.164,40.115,606.108,88.227,597.43,88.552,8.6845,outlier
2,pair_02,3,100.661,59.115,254.108,146.227,254.572,146.895,0.8132,inlier
2,pair_02,4,147.662,64.115,402.108,163.227,402.52,163.611,0.5626,inlier
2,pair_02,5,204.164,72.115,583.108,190.227,581.717,190.226,1.3913,inlier
2,pair_02,6,94.161,92.616,229.108,249.227,231.492,253.718,5.0844,outlier
2,pair_02,7,141.162,97.116,384.108,266.227,380.512,269.311,4.7373,outlier
2,pair_02,8,199.164,108.616,565.108,307.227,565.769,308.048,1.0542,inlier
3,pair_03,0,93.161,41.615,231.108,90.227,232.37,91.57,1.8427,inlier
3,pair_03,1,142.662,49.115,386.108,119.227,387.348,115.957,3.4977,outlier
3,pair_03,2,195.163,57.115,555.108,147.227,553.112,142.186,5.4224,outlier
3,pair_03,3,91.161,72.115,223.108,188.227,223.659,188.021,0.5878,inlier
3,pair_03,4,140.162,78.615,381.108,209.227,378.16,209.765,2.9967,inlier
3,pair_03,5,195.163,85.616,552.108,237.227,553.009,233.418,3.9146,outlier
3,pair_03,6,86.161,108.116,203.108,297.227,204.83,303.569,6.5717,outlier
3,pair_03,7,138.162,112.616,373.108,311.227,370.23,319.509,8.7677,outlier
3,pair_03,8,194.663,120.116,550.108,344.227,551.272,345.504,1.728,inlier
