global_idx,group_id,pair_file,local_idx,ir_x,ir_y,rgb_x,rgb_y,proj_x,proj_y,error_px,le_3px
0,0,pair_00,0,108.162,86.116,281.108,250.227,278.631,250.582,2.5025,True
1,0,pair_00,1,138.662,86.616,371.108,254.227,374.23,253.572,3.1904,False
2,0,pair_00,2,170.714,85.857,478.429,252.857,475.008,252.717,3.4236,False
3,0,pair_00,3,109.214,105.5,282.429,310.0,280.635,310.774,1.9531,True
4,0,pair_00,4,138.214,105.357,370.429,309.714,371.279,311.746,2.2022,True
5,0,pair_00,5,171.214,105.429,475.429,312.714,474.614,313.579,1.1875,True
6,0,pair_00,6,108.714,125.929,277.429,372.714,277.726,373.697,1.0272,True
7,0,pair_00,7,138.214,123.857,369.429,369.857,369.763,368.822,1.0877,True
8,0,pair_00,8,171.714,126.286,473.429,377.571,474.095,377.988,0.7858,True
9,1,pair_01,0,67.214,86.071,152.429,250.143,150.531,248.526,2.4929,True
10,1,pair_01,1,95.714,86.571,240.429,253.286,239.627,251.417,2.0337,True
11,1,pair_01,2,128.714,86.857,343.429,254.429,343.0,253.857,0.7149,True
12,1,pair_01,3,68.214,105.357,152.429,308.857,152.796,308.338,0.6358,True
13,1,pair_01,4,95.714,105.286,237.429,308.714,238.515,309.454,1.3148,True
14,1,pair_01,5,128.214,105.929,340.429,312.0,339.963,313.026,1.1267,True
15,1,pair_01,6,68.214,124.071,148.429,370.286,151.968,365.955,5.5931,False
16,1,pair_01,7,95.714,124.571,237.429,369.286,237.377,368.874,0.415,True
17,1,pair_01,8,128.214,126.429,338.429,376.857,338.395,376.22,0.638,True
18,2,pair_03,0,174.214,85.071,484.429,251.143,486.099,250.43,1.8159,True
19,2,pair_03,1,202.714,86.0,575.429,255.0,575.751,254.671,0.4607,True
20,2,pair_03,2,174.714,103.857,485.429,309.857,485.748,308.88,1.0284,True
21,2,pair_03,3,202.714,103.857,573.429,310.857,573.648,310.246,0.6493,True
22,2,pair_03,4,174.214,124.357,481.429,373.857,482.1,372.18,1.8061,True
23,2,pair_03,5,202.214,122.571,573.429,371.143,569.893,368.096,4.6672,False
24,3,pair_04,0,107.714,49.071,281.429,133.857,279.695,134.503,1.85,True
25,3,pair_04,1,137.714,49.071,373.429,137.143,374.372,135.808,1.6346,True
26,3,pair_04,2,171.214,48.857,478.429,137.714,480.335,136.59,2.213,True
27,3,pair_04,3,109.214,68.357,283.429,192.857,283.121,195.179,2.3418,True
28,3,pair_04,4,137.714,67.357,373.429,193.857,372.849,193.334,0.7807,True
29,3,pair_04,5,171.214,68.286,476.429,195.714,478.357,197.767,2.8165,True
30,3,pair_04,6,108.714,88.5,279.429,256.714,280.203,258.028,1.5248,True
31,3,pair_04,7,138.214,87.5,372.429,253.714,372.751,256.306,2.6116,True
32,3,pair_04,8,171.714,88.929,475.429,260.714,477.843,262.339,2.9103,True
33,4,pair_05,0,161.714,48.5,445.429,136.143,450.302,135.048,4.9946,False
34,4,pair_05,1,190.214,49.071,537.429,140.143,540.502,138.096,3.6927,False
35,4,pair_05,2,162.214,67.643,447.429,195.571,450.031,195.341,2.6122,True
36,4,pair_05,3,190.214,66.286,536.429,193.714,538.568,192.348,2.5386,True
37,4,pair_05,4,221.714,68.143,638.429,197.714,637.979,199.616,1.9542,True
38,4,pair_05,5,161.214,87.857,442.429,258.0,444.944,258.504,2.5657,True
39,4,pair_05,6,190.214,86.5,536.429,255.0,536.312,255.642,0.652,True
40,4,pair_05,7,221.714,88.5,637.429,263.571,635.354,263.374,2.084,True
41,5,pair_06,0,63.214,49.929,139.429,132.857,139.563,135.272,2.4185,True
42,5,pair_06,1,91.714,49.071,228.429,136.143,229.277,133.809,2.4834,True
43,5,pair_06,2,124.714,48.857,335.429,137.429,333.339,134.566,3.5442,False
44,5,pair_06,3,64.214,68.357,138.429,193.429,141.915,193.145,3.4976,False
45,5,pair_06,4,91.714,67.429,228.429,193.429,228.212,191.48,1.961,True
46,5,pair_06,5,124.214,68.571,331.429,195.714,330.266,196.529,1.4202,True
47,5,pair_06,6,63.214,88.429,133.429,255.857,137.936,255.664,4.5119,False
48,5,pair_06,7,90.714,86.929,227.429,253.857,223.96,252.293,3.8049,False
49,5,pair_06,8,124.214,89.357,328.429,259.714,328.701,261.426,1.7327,True
